Company,Vertical,Contact Name,Phone/WhatsApp,Email,Source,Staff (est),Status,Last Contact,Export Received,Notes
IET Solar,Solar,,,,iet-solar.co.za,,Not contacted,,No,"Turnkey residential/commercial solar; serves Summerstrand, Walmer, Lorraine, Uitenhage, Jeffreys Bay"
Solar Energizers,Solar,,041 360 1060,info@solarenergizers.co.za,solarenergizers.co.za,,Not contacted,,No,Established solar energy solutions provider
Securewise Automation,Solar,,,,securewiseautomation.co.za,,Not contacted,,No,"Warehouse/manufacturing facility in Deal Party PE; inverters, lithium batteries, solar panels"
G&L Tech Services,Solar + HVAC,,+27 41 001 3030,,gandltech.co.za,,Not contacted,,No,"Cross-vertical: solar AND aircon install/maintenance - good double-fit prospect"
WCCTV,Security/Access Control,,,,wcctv.co.za,,Not contacted,,No,"CCTV + access control installer, ZKTeco/Virdi/Impro/Morpho brands, facial recognition time & attendance"
CCTV Pro Installers,Security/Access Control,,,,cctvproinstallers.co.za,,Not contacted,,No,Residential and commercial; integrates gates/access control/CCTV
Client Service Communications (CS Comms),Security/Access Control,,,,cscomms.co.za,,Not contacted,,No,20+ years operating in Eastern Cape - strong ICP fit (established, not brand new)
ReformSA Solutions,Security/Access Control,,,,,,Not contacted,,No,"Automation, CCTV, access control, time & attendance, alarms - also touches solar"
Algoa Security,Security,,,,,,Not contacted,,No,Local operator mentioned in security company roundups - verify size/fit before contacting
PRO-ALL SERVICES,Gate Automation,Brent,+27 84 837 5993,,Wanderlog reviews,,Not contacted,,No,"Newton Park, Gqeberha. Gate + garage door automation, electric fencing"
Slip Technologies,Gate Automation/Security,,082 968 0122,sales@sliptechnologies.co.za,sliptechnologies.co.za,,Not contacted,,No,Est. 1997; 20+ years; fencing/gates/CCTV/biometric access/gate automation - strong ICP fit
Kay Gee Security Systems,Gate Automation/Security,,041 379 1527,,kgsecurity.co.za,,Not contacted,,No,Since 1991; manufactures + installs electric fences/gates/automation/intercoms/access control
GP Gate Motors,Gate Automation,,,,gpgatemotors.co.za,,Not contacted,,No,Gate motor supply/install + garage doors/CCTV/electric fencing
Air Africa,HVAC/Refrigeration,Sean Pretorius,,,air-africa.co.za,,Not contacted,,No,"Full design/supply/install/maintenance; commercial aircon, cold rooms, freezer rooms"
Billy's Air-conditioning and Refrigeration,HVAC/Refrigeration,,,,billysairconrefrigeration.co.za,,Not contacted,,No,Residential/commercial/industrial cooling and heating
ABS Airconditioning and Refrigeration,HVAC/Refrigeration,,,,,,Not contacted,,No,Owner-run business, 17+ years experience - strong ICP fit (small, owner close to sales)
AF Airconditioning and Refrigeration,HVAC/Refrigeration,Dries,,,,,Not contacted,,No,In business since 2000
Cool Projects Air Conditioning,HVAC/Refrigeration,Victor Pretorius,041 581 6563,victor@coolprojects.co.za,coolprojects.co.za,,Not contacted,,No,Samsung/Daikin/Midea/LG dealer; design/install/service/maintenance
Econo-Air,HVAC/Refrigeration,Morne,,,,,Not contacted,,No,Aircon contractors/heat pumps/cold rooms/ventilation
Cooling & Maintenance,HVAC/Refrigeration,,,,coolingandmaintenance.co.za,,Not contacted,,No,Aircon repair/ventilation maintenance/industrial refrigeration
Netherby Solar,Solar,,,,,,Not contacted,,No,Residential and business solar/water heating systems
Ian Kleyn Electrical,Solar,,,,,,Not contacted,,No,"Specialises in commercial/industrial solar PV + back-up power; authorised Victron Energy installer"
Glotech Group,HVAC/Refrigeration,,,,,,Not contacted,,No,"Cold rooms, freezer rooms, refrigeration for hospitality/retail/agriculture/logistics sectors"
Air Experts,HVAC/Refrigeration,,,,airexperts.co.za,,Not contacted,,No,Display fridges/bar coolers/walk-in cold rooms install and repair
Cape Refrigeration,HVAC/Refrigeration,,,,caperefrigeration.co.za,,Not contacted,,No,Cold room installations across Eastern Cape
Tas Refrigeration & Air Conditioning,HVAC/Refrigeration,,,,facebook.com/TasRefrigeration,,Not contacted,,No,"Cold rooms, freezer rooms, commercial refrigeration, heat pumps, HVAC"
SAN Refrigeration,HVAC/Refrigeration,,,,sanrefrigeration.co.za,,Not contacted,,No,Port Elizabeth based, near Port of Ngqura
NEPOWORX Port Elizabeth,Solar,,,,solarpanelinstallers.co.za listing,,Not contacted,,No,SAPVIA-adjacent installer directory listing for Gqeberha
SA PV Solar Solutions,Solar,,,,sapvsolarsolutions.co.za,,Not contacted,,No,"Jeffreys Bay based, Eastern Cape - solar + renewable water solutions for ag/commercial/residential"
Solar Technique,Solar,,,,jeffreysbay.com/business/solar-technique,,Not contacted,,No,"Jeffreys Bay/Kouga district solar supplier - good geographic spread beyond PE metro"
Ryantech Electrons Tradings,Security/Access Control + HVAC,,+27 72 420 6521,info@ryantech.co.za,ryantech.co.za,,Not contacted,,No,"Bluewater Bay PE. 100% black-owned Level 1 B-BBEE, est. 2016. CCTV/data cabling/access control/aircon - cross-vertical double-fit"
Pro Electric Fencing,Gate Automation/Security,,,,proelectricfencing.co.za,,Not contacted,,No,Electric fence installs/repairs, teams on standby in PE and surrounds
